时间	设备名称	片上时间()	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(?t)	磁场Y(?t)	磁场Z(?t)	温度(℃)	电量()	信号()	版本号()
15:48:21.324	WT5500002992(2).wplay	2024-10-8 15:13:43.815	0.011	0.003	1.007	0.000	0.000	0.000	0.170	-0.472	135.472	93.457	-95.312	-27.539	39.4	3.72	-52	13011
15:48:21.339	WT5500002992(2).wplay	2024-10-8 15:13:43.893	0.008	0.998	-0.043	0.000	0.000	0.000	92.450	-0.615	147.870	80.664	-57.715	131.641	39.5	3.67	-65	13011
15:48:21.343	WT5500002992(2).wplay	2024-10-8 15:13:43.915	0.011	0.002	1.005	0.000	0.000	0.000	0.170	-0.472	135.472	93.457	-95.312	-27.441	39.4	3.72	-52	13011
15:48:21.345	WT5500002992(2).wplay	2024-10-8 15:13:43.993	0.008	0.998	-0.043	0.000	0.000	0.000	92.450	-0.615	147.865	80.371	-57.715	131.445	39.5	3.67	-65	13011
15:48:21.357	WT5500002992(2).wplay	2024-10-8 15:13:44.15	0.011	0.003	1.006	0.000	0.000	0.000	0.170	-0.472	135.472	93.359	-95.312	-27.344	39.5	3.72	-52	13011
15:48:21.358	WT5500002992(2).wplay	2024-10-8 15:13:44.115	0.011	0.998	-0.043	0.000	0.000	0.000	92.450	-0.615	147.859	80.469	-57.617	132.129	39.5	3.67	-63	13011
15:48:21.364	WT5500002992(2).wplay	2024-10-8 15:13:44.193	0.009	0.998	-0.043	0.000	0.000	0.000	92.450	-0.615	147.859	80.566	-57.910	132.031	39.5	3.67	-63	13011
15:48:21.370	WT5500002992(2).wplay	2024-10-8 15:13:44.215	0.012	0.003	1.006	0.000	0.000	0.000	0.170	-0.472	135.478	93.359	-95.312	-27.441	39.4	3.72	-52	13011
15:48:21.372	WT5500002992(2).wplay	2024-10-8 15:13:44.293	0.008	0.998	-0.043	0.000	0.000	0.000	92.450	-0.615	147.859	80.371	-57.812	131.641	39.5	3.67	-63	13011
15:48:21.373	WT5500002992(2).wplay	2024-10-8 15:13:44.315	0.011	0.004	1.005	0.000	0.000	0.000	0.170	-0.472	135.478	93.359	-95.312	-27.441	39.4	3.72	-52	13011
15:48:21.380	WT5500002992(2).wplay	2024-10-8 15:13:44.415	0.010	0.998	-0.043	0.000	0.000	0.000	92.450	-0.615	147.859	80.957	-57.715	131.836	39.4	3.67	-63	13011
15:48:21.389	WT5500002992(2).wplay	2024-10-8 15:13:44.493	0.007	0.999	-0.042	0.000	0.000	0.000	92.450	-0.615	147.854	80.371	-57.812	131.641	39.5	3.67	-63	13011
15:48:21.397	WT5500002992(2).wplay	2024-10-8 15:13:44.593	0.009	0.002	1.006	-0.061	0.000	0.000	0.165	-0.478	135.478	93.457	-95.215	-27.344	39.4	3.72	-52	13011
15:48:21.406	WT5500002992(2).wplay	2024-10-8 15:13:44.693	0.009	0.002	1.006	0.000	0.000	0.000	0.165	-0.478	135.478	93.359	-95.410	-27.441	39.4	3.72	-52	13011
15:48:21.421	WT5500002992(2).wplay	2024-10-8 15:13:44.615	0.011	0.002	1.005	0.000	0.000	0.000	0.159	-0.478	135.478	93.359	-95.215	-27.637	39.4	3.72	-54	13011
15:48:21.422	WT5500002992(2).wplay	2024-10-8 15:13:44.715	0.011	0.998	-0.042	0.000	0.000	0.000	92.450	-0.615	147.854	80.273	-57.812	131.445	39.5	3.67	-63	13011
